N,mean_l2__rand_mean,mean_l2__rand_std,mean_l2__cb_mean,mean_l2__cb_std
10,0.0,0.0,0.0,0.0
50,0.113,0.05,0.0614,0.037
100,0.1503,0.0547,0.1132,0.065
500,0.3452,0.0779,0.3067,0.0897
1000,0.4358,0.0806,0.3658,0.0563
