N,success_rate__rand_mean,success_rate__rand_std,success_rate__cb_mean,success_rate__cb_std
10,0.06,0.0548,0.0,0.0
50,0.12,0.0849,0.052,0.046
100,0.2,0.0566,0.12,0.0469
500,0.436,0.0555,0.412,0.0782
1000,0.564,0.1178,0.52,0.0616
