seed,N,strategy,sigma,mean_l2,attack_mean_l2,failure_rate
45,100,class_balanced,0.02,0.56,0.02,0.1
45,100,class_balanced,0.05,1.4,0.02,0.1
45,100,class_balanced,0.1,2.8,0.02,0.1
46,100,class_balanced,0.01,0.28,0.098,0.08
46,100,class_balanced,0.02,0.56,0.098,0.08
46,100,class_balanced,0.05,1.4,0.098,0.08
46,100,class_balanced,0.1,2.8,0.098,0.08
42,500,random,0.01,0.28,0.3269,0.34
42,500,random,0.02,0.56,0.3269,0.34
42,500,random,0.05,1.4,0.3269,0.36
42,500,random,0.1,2.8,0.3269,0.46
43,500,random,0.01,0.28,0.4576,0.42
43,500,random,0.02,0.56,0.4576,0.48
43,500,random,0.05,1.4,0.4576,0.56
43,500,random,0.1,2.8,0.4576,0.7
44,500,random,0.01,0.28,0.3883,0.4
44,500,random,0.02,0.56,0.3883,0.42
44,500,random,0.05,1.4,0.3883,0.46
44,500,random,0.1,2.8,0.3883,0.54
45,500,random,0.01,0.28,0.2712,0.46
45,500,random,0.02,0.56,0.2712,0.5
45,500,random,0.05,1.4,0.2712,0.52
45,500,random,0.1,2.8,0.2712,0.6
46,500,random,0.01,0.28,0.2821,0.4
46,500,random,0.02,0.56,0.2821,0.42
46,500,random,0.05,1.4,0.2821,0.44
46,500,random,0.1,2.8,0.2821,0.54
42,500,class_balanced,0.01,0.28,0.3387,0.32
42,500,class_balanced,0.02,0.56,0.3387,0.34
42,500,class_balanced,0.05,1.4,0.3387,0.4
42,500,class_balanced,0.1,2.8,0.3387,0.48
43,500,class_balanced,0.01,0.28,0.3494,0.48
43,500,class_balanced,0.02,0.56,0.3494,0.48
43,500,class_balanced,0.05,1.4,0.3494,0.56
43,500,class_balanced,0.1,2.8,0.3494,0.6
44,500,class_balanced,0.01,0.28,0.2892,0.34
44,500,class_balanced,0.02,0.56,0.2892,0.34
44,500,class_balanced,0.05,1.4,0.2892,0.4
44,500,class_balanced,0.1,2.8,0.2892,0.42
45,500,class_balanced,0.01,0.28,0.1611,0.34
45,500,class_balanced,0.02,0.56,0.1611,0.34
45,500,class_balanced,0.05,1.4,0.1611,0.34
45,500,class_balanced,0.1,2.8,0.1611,0.42
46,500,class_balanced,0.01,0.28,0.395,0.4
46,500,class_balanced,0.02,0.56,0.395,0.42
46,500,class_balanced,0.05,1.4,0.395,0.44
46,500,class_balanced,0.1,2.8,0.395,0.52
42,1000,random,0.01,0.28,0.4862,0.6
42,1000,random,0.02,0.56,0.4862,0.62
42,1000,random,0.05,1.4,0.4862,0.7
42,1000,random,0.1,2.8,0.4862,0.76
43,1000,random,0.01,0.28,0.3982,0.44
43,1000,random,0.02,0.56,0.3982,0.44
43,1000,random,0.05,1.4,0.3982,0.52
