seed,n_baseline_correct,mean_pairwise_cosine,a_raw,a_cond,b_raw,b_cond
42,86,0.41783,0.18,0.0465,0.14,0.0
43,94,0.38813,0.08,0.0213,0.06,0.0
44,91,0.38081,0.12,0.033,0.09,0.0
45,82,0.39815,0.21,0.0366,0.18,0.0
46,88,0.39461,0.16,0.0455,0.12,0.0
